ConceptScheme URI,http://w3id.org/sul-vocab/,
PREFIX,svc,http://w3id.org/sul-vocab/
PREFIX,bib,http://id.loc.gov/ontologies/bibframe/
dc:creator,Stanford Libraries,
dct:rights,https://creativecommons.org/licenses/by/4.0/,
,,
URI,skos:prefLabel@en,skos:exactMatch
svc:25877fc0-3453-4fcc-b90b-c2f5c2841a8d,barcode,bib:Barcode
svc:be27ef65-2fc9-4f4a-92d6-7b8233b299a4,date,bib:date
svc:44f5d3ff-27d7-453c-8dcb-02eddfaeb212,dimensions,bib:dimensions
svc:6c563cf3-b63b-4043-b6bf-352197eed87c,enumeration,bib:Enumeration
svc:dc110074-ea64-49ca-865c-b866a264d112,catkey,bib:Local
svc:1f04c8cc-64c2-4f84-ba77-a6cfbbe6f8a8,title,bib:mainTitle
svc:2b84d6f8-9e8a-4972-8183-e1c8757f750c,note,bib:Note
svc:3fa5ac26-ad6b-4da1-8334-f77a3491fe5b,publication,bib:Publication
svc:05615321-9496-4355-b6e9-60a7748f5fbc,text,bib:Text
